domainId,categoryId,categoryTitle,breadcrumb,mediaGroup,name,subName,pen,sel,reach,benchmarkPen
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Acura (vehicles),,9.3,1.37,29830,6.788321167883212
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Jaguar Cars,,43.6,1.36,139747,32.05882352941176
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,BYD (Proxy),,11.6,1.36,37116,8.529411764705882
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,International Auto Source,,5.2,1.36,16549,3.8235294117647056
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Honda,,45.7,1.35,146503,33.851851851851855
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Tyre,Michelin,12.5,1.35,40105,9.25925925925926
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Tyre,Yokohama,2.7,1.35,8583,2
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Lamborghini,,45.3,1.34,145298,33.805970149253724
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Kia Motors,,44.8,1.34,143611,33.43283582089552
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Motor bikes,Aprilia,9.3,1.34,29976,6.940298507462686
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Motor bikes,Furygan,4.2,1.34,13587,3.1343283582089554
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Citroën,,43.7,1.33,140293,32.857142857142854
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Motor bikes,Piaggio,7.3,1.33,23380,5.488721804511278
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Motor bikes,Alpinestars,6.7,1.33,21461,5.037593984962406
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Motor bikes,Vespa,7.4,1.32,23821,5.606060606060606
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Motor bikes,Honda Motorcycles,4.6,1.32,14866,3.4848484848484844
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,McLaren Automotive (vehicles),,3.3,1.32,10704,2.4999999999999996
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Ford Motor Company,,42.4,1.31,136113,32.36641221374045
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Mazda,,41.8,1.31,133984,31.90839694656488
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Volvo Trucks,,11.7,1.3,37606,9
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Motor bikes,LS2,8.6,1.3,27518,6.615384615384615
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Motor bikes,Husqvarna Motorcycles,6,1.29,19093,4.651162790697675
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Motor bikes,Indian (motorcycle),6.7,1.27,21401,5.275590551181103
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Suzuki,,38.9,1.25,124748,31.119999999999997
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Motor bikes,Dainese,9.6,1.17,30756,8.205128205128206
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Motor bikes,BMW Motorrad,20.3,1.16,65021,17.500000000000004
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Motor bikes,Bering,11.1,1.12,35633,9.910714285714285
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Motor bikes,Yamaha Motor Company,17.4,1.08,55883,16.111111111111107
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Motor bikes,Triumph Motorcycles Ltd,13.3,1.08,42684,12.314814814814815
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Motor bikes,Harley-Davidson (brand),16.3,1.07,52275,15.233644859813085
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Motor bikes,Kawasaki motorcycles,16.4,1.06,52568,15.471698113207545
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Motor bikes,KTM,15.5,1.06,49812,14.622641509433961
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Motor bikes,Ducati,15.4,1.06,49302,14.528301886792452
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Motor bikes,Hero MotoCorp,0.6,0.86,2084,0.6976744186046512
brands-relationship,brands-relationship-automotive-s-segments,Automotive's Segments,Brands relationship > Automotive's Segments,Automotive & mobility,Volkswagen ID.Family,,68.1,1.71,218617,39.82456140350877
brands-relationship,brands-relationship-automotive-s-segments,Automotive's Segments,Brands relationship > Automotive's Segments,Automotive & mobility,Volkswagen ID.1,,18.2,1.56,58418,11.666666666666666
brands-relationship,brands-relationship-automotive-s-segments,Automotive's Segments,Brands relationship > Automotive's Segments,Automotive & mobility,Volkswagen R (Proxy),,37.1,1.52,118888,24.407894736842106
brands-relationship,brands-relationship-automotive-s-segments,Automotive's Segments,Brands relationship > Automotive's Segments,Automotive & mobility,Segment C+,Jaguar F-Type (vehicle),3.1,1.5,10095,2.066666666666667
brands-relationship,brands-relationship-automotive-s-segments,Automotive's Segments,Brands relationship > Automotive's Segments,Automotive & mobility,Volkswagen ID.Polo,,13.3,1.49,42755,8.926174496644295
