Criteria Name;Target Size;Benchmark Size;Target Penetration;Benchmark Penetration;Score
Engineering;219800;3961303;0.6851620947630923;0.507859358974359;95
Entertainement;2703;60384;0.008425810473815461;0.007741538461538461;35
Entrepreneurship;235483;5376342;0.7340492518703242;0.6892746153846154;89
Environment;10355;271815;0.0322786783042394;0.034848076923076926;14
Equestrian sports;132507;3230522;0.41305174563591024;0.4141694871794872;66
Estate Cars;188371;2984255;0.5871913965087282;0.3825967948717949;98
Ethical Food;157074;4482205;0.4896321695760599;0.5746416666666667;33
European cars;259070;5478140;0.807574812967581;0.702325641025641;94
Exclusive cars;253136;3723613;0.7890773067331671;0.47738628205128203;99
Expressionism;11156;297605;0.03477556109725686;0.03815448717948718;12
Extreme sport;113266;2584018;0.353073566084788;0.331284358974359;72
F1;175403;3804986;0.5467674563591023;0.48781871794871795;88
Fake News;9375;286028;0.029223815461346635;0.03667025641025641;3
Family;220369;5562098;0.6869357855361596;0.7130894871794872;76
Family Events;144136;3904011;0.44930174563591024;0.5005142307692307;41
Family members;179883;4140919;0.5607325436408978;0.5308870512820513;81
Family tree;4525;122748;0.014105361596009974;0.015736923076923075;9
Farmers;1371;33070;0.004273690773067332;0.00423974358974359;23
Fashion Accessories;231345;6829211;0.7211502493765586;0.8755398717948718;36
Fashion Events;27175;729172;0.08471009975062344;0.09348358974358974;15
Fast food;152873;4108208;0.476536783042394;0.5266933333333333;45
Fiancé/Fiancée;48308;1285315;0.15058603491271821;0.16478397435897435;22
Fighting Games;13803;326663;0.043026807980049875;0.04187987179487179;32
Fighting sport;101941;2461255;0.3177711970074813;0.3155455128205128;60
Film events;25422;705769;0.07924563591022443;0.09048320512820512;10
Finance;78674;1488627;0.2452431421446384;0.1908496153846154;84
Fine Art;119354;3087960;0.3720511221945137;0.3958923076923077;46
First-Person Shooters;58437;1296553;0.18216022443890276;0.1662247435897436;61
Fish and seafood;114149;2703073;0.3558260598503741;0.3465478205128205;67
Fitness sport;232816;6310270;0.7257356608478803;0.8090089743589743;63
Folk Music;38578;1144763;0.12025561097256858;0.14676448717948717;6
Food retailer;195179;3850379;0.6084133416458853;0.49363833333333335;94
Football league;85686;2159481;0.2671009975062344;0.27685653846153846;43
Football players;33513;933568;0.10446695760598504;0.11968820512820513;11
Foreign policy;13048;288161;0.04067331670822943;0.036943717948717945;41
Fragrance;150803;4304738;0.4700841645885287;0.5518894871794872;31
Freelancer;114306;2395916;0.35631546134663344;0.307168717948718;81
French Media;28885;670304;0.09004052369077306;0.08593641025641026;39
Frozen foods;36362;752847;0.11334788029925187;0.09651884615384615;65
Fruit Juice;20776;543490;0.06476309226932668;0.06967820512820513;18
Fruits & vegetables;110525;2882773;0.3445293017456359;0.3695862820512821;43
Fuel Type - Diesel;35531;601921;0.11075748129675811;0.07716935897435898;85
Fuel Type - Electricity;273097;4431713;0.8512998753117207;0.5681683333333334;99
Fuel Type - Fuel Cell;1118;23793;0.0034850374064837905;0.0030503846153846154;42
Fuel Type - Hybrid/HEV;250578;3381883;0.7811034912718204;0.43357474358974357;100
Fuel Type - Natural Gas;44487;789259;0.13867518703241896;0.10118705128205129;82
Fuel Type - Petrol;26873;469178;0.08376870324189527;0.06015102564102564;80
Fuel Type - Plugin;160862;2525997;0.5014401496259352;0.32384576923076924;97
Fuel provider;23819;416953;0.07424875311720698;0.05345551282051282;79
Furnishing;237717;6566298;0.7410130922693267;0.841833076923077;59
Game Creation;1561;39983;0.0048659600997506235;0.005126025641025641;15
Game News;9349;202870;0.0291427680798005;0.026008974358974358;43
Gemstone;65147;1805107;0.20307668329177056;0.23142397435897435;19
German media;5258;125363;0.016390274314214463;0.016072179487179487;27
Germany;5260;125274;0.016396508728179552;0.01606076923076923;27
Glasses & Sunglasses;93446;2243815;0.2912905236907731;0.2876685897435897;58
Global Clothing;189666;4333645;0.5912281795511222;0.5555955128205128;83
Global jewelry;186960;4628915;0.5827930174563591;0.593450641025641;74
Goal SD/UN 10 - Reduced Inequalities;37950;789261;0.11829800498753117;0.10118730769230769;65
Goal SD/UN 12 - Responsible consumption;148338;3621096;0.4624002493765586;0.4642430769230769;69
Goal SD/UN 13 - Climate action;34421;748723;0.10729738154613466;0.0959901282051282;55
Goal SD/UN 14 - Life below water;14233;317105;0.04436720698254364;0.04065448717948718;40
Goal SD/UN 15 - Life on land;117863;2852819;0.36740336658354117;0.36574602564102565;64
Goal SD/UN 16 - Peace & Justice;128579;2620694;0.4008073566084788;0.33598641025641024;87
Goal SD/UN 2 - Zero Hunger;14708;379234;0.04584788029925187;0.04861974358974359;18
Goal SD/UN 3 - Good health & well-being;28721;641070;0.0895293017456359;0.08218846153846154;46
Goal SD/UN 6 - Clean water & sanitation;17476;355165;0.05447630922693267;0.04553397435897436;60
Goal SD/UN 7 - Affordable & clean energy;268309;4495844;0.8363746882793017;0.5763902564102564;99
Goal SD/UN 9 - Industry, Innovation;225722;4013571;0.7036221945137157;0.5145603846153847;96
Golf;136191;2832512;0.424535536159601;0.3631425641025641;85
Gossip;1327;35110;0.0041365336658354115;0.004501282051282051;10
Goth Fashion;7965;214904;0.0248285536159601;0.027551794871794873;10
Gourmet food;165630;4355966;0.5163029925187033;0.5584571794871794;57
Graduation;6768;202367;0.02109725685785536;0.02594448717948718;3
Green Politics;193823;3785669;0.6041864089775562;0.4853421794871795;94
Hair;115335;3372855;0.35952306733167083;0.4324173076923077;18
Handball;10690;261402;0.03332294264339152;0.03351307692307692;25
