Criteria Name;Target Size;Benchmark Size;Target Penetration;Benchmark Penetration;Score
Android Wear;912;20081;0.0028428927680798004;0.0025744871794871793;0
Andy Murray;4959;112882;0.015458229426433915;0.014472051282051281;53
Andy Warhol;8680;234615;0.027057356608478803;0.030078846153846154;26
Angel investor;14827;301219;0.046218827930174566;0.03861782051282051;76
Angelina Jolie;1843;49257;0.00574501246882793;0.006315;25
Anheuser-Busch brands;2535;58986;0.00790211970074813;0.007562307692307692;49
Animal Crossing;4726;117960;0.014731920199501246;0.015123076923076923;37
Animal Planet;7607;196716;0.023712593516209475;0.02522;32
Animal rights;43604;1234570;0.13592269326683293;0.15827820512820512;27
Animal shelter;45278;1375425;0.14114089775561098;0.17633653846153846;16
Animal welfare;69451;1958073;0.2164931421446384;0.251035;34
Animated movies;73291;1984463;0.228463216957606;0.25441833333333336;44
Anime Expo (convention);12484;422020;0.03891521197007481;0.05410512820512821;5
Anime and manga fandom (subculture);22607;782503;0.07047069825436408;0.10032089743589744;5
Anime convention (convention);17129;558370;0.05339463840399002;0.07158589743589744;7
Anime movies;48764;1557655;0.15200748129675812;0.19969935897435898;10
Annabelle (film);1715;44865;0.005346009975062344;0.005751923076923077;28
Anne-Sophie Pic (chef);2589;71540;0.008070448877805485;0.009171794871794871;21
Anniversary (event);18877;626541;0.05884351620947631;0.08032576923076923;6
Ant-Man (film);859;22345;0.0026776807980049876;0.00286474358974359;0
Anthropologie (apparel);2663;98043;0.008301122194513715;0.012569615384615384;2
Anti-aging cream (cosmetics);39558;1160656;0.12331047381546134;0.1488020512820513;20
Anti-theft system;12534;236721;0.039071072319201997;0.030348846153846153;82
Antique car;79530;1394421;0.24791147132169575;0.17877192307692308;97
Antivirus software;6586;146673;0.02052992518703242;0.018804230769230768;59
Antoine Griezmann;2087;48597;0.006505610972568579;0.006230384615384615;48
Apartamento (publication);1982;43247;0.006178304239401496;0.005544487179487179;60
Apartment;204681;4862421;0.6380330423940149;0.6233873076923077;92
Aperol;2333;57816;0.007272443890274314;0.007412307692307692;38
App Store (iOS);31028;731268;0.0967206982543641;0.09375230769230769;59
Apple (fruit);11371;252227;0.03544576059850374;0.032336794871794874;62
Apple Inc.;44243;1019193;0.1379145885286783;0.13066576923076922;68
Apple Store;10029;216034;0.03126246882793018;0.027696666666666668;66
Apple TV;20283;442159;0.06322630922693266;0.05668705128205128;68
Apple Watch;33854;782651;0.10552992518703241;0.10033987179487179;64
Apple juice;2234;67024;0.006963840399002494;0.008592820512820513;12
Apple music;40390;1107182;0.12590399002493766;0.14194641025641025;32
Application software;129393;3378880;0.40334476309226935;0.4331897435897436;69
Aprilia;29976;543956;0.09344139650872818;0.06973794871794872;89
Apéritif and digestif;39632;971052;0.12354114713216957;0.12449384615384615;55
Arabic coffee;10787;242735;0.033625311720698256;0.031119871794871794;59
Arc'teryx (apparel);8901;210214;0.027746259351620946;0.02695051282051282;49
Arc'teryx (apparel);8901;210214;0.027746259351620946;0.02695051282051282;49
Arc'teryx (apparel);8988;211408;0.028017456359102244;0.027103589743589743;50
Arcade game;33432;795916;0.10421446384039901;0.10204051282051282;58
Archaeology;19923;492329;0.06210411471321696;0.06311910256410257;45
Archery;5610;139260;0.017487531172069824;0.017853846153846154;38
Architectural Digest (publication);17981;442401;0.056050498753117205;0.05671807692307692;45
Architecture;183069;4248752;0.5706639650872818;0.5447117948717949;92
Arctic Monkeys;3933;112586;0.01225997506234414;0.014434102564102564;17
Arcángel (singer);4477;113854;0.01395573566084788;0.014596666666666668;34
